Model,ROC-AUC_mean,ROC-AUC_std,Accuracy_mean,Accuracy_std,Precision_mean,Recall_mean,F1_mean
Random Forest,0.908614751344086,0.025485055159610033,0.8410017730496453,0.04491105790002178,0.7584140833366839,0.7645833333333334,0.7555032318429558
Logistic Regression,0.9071681787634409,0.02891194575284538,0.8199468085106384,0.04634151108471982,0.6946061044555123,0.8116666666666668,0.7457834301338996
SVM Linear,0.8995127688172044,0.029982492136324247,0.8051418439716314,0.0557564209931709,0.6820314221382332,0.7925000000000001,0.7265275776898168
Naive Bayes,0.8905430947580646,0.02719533771408267,0.7775709219858156,0.036726531099674546,0.6381524089422193,0.7387500000000001,0.6817486372805664
