Model,ROC-AUC_mean,ROC-AUC_std,Accuracy_mean,Accuracy_std,Precision_mean,Recall_mean,F1_mean,Best_params,Training_time
Logistic Regression,0.913490003360215,0.027037292399743763,0.8199024822695036,0.04540446168288133,0.6957092932866926,0.8041666666666668,0.7433209382402931,"OrderedDict({'C': 0.11233621690895233, 'l1_ratio': 0.7277257431773251, 'penalty': 'elasticnet', 'solver': 'saga'})",30.7025203704834
SVM RBF,0.9133459341397849,0.027928231593105306,0.805008865248227,0.045449616893830765,0.6655780809654144,0.8170833333333334,0.7308794123195401,"OrderedDict({'C': 1.597605909365623, 'gamma': 0.003846070999406944})",21.650749921798706
Random Forest,0.9117918346774193,0.026704879147180758,0.8368794326241135,0.0340522481762194,0.782306166056166,0.7,0.7328941874773354,"OrderedDict({'max_depth': 17, 'max_features': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 493})",285.2138316631317
Ensemble (Voting),0.9064784946236559,0.027205509416900184,0.7647058823529411,0.0,0.627906976744186,0.6923076923076923,0.6585365853658537,soft voting,0.0
Naive Bayes,0.8905430947580646,0.02719533771408267,0.7775709219858156,0.036726531099674546,0.6381524089422193,0.7387500000000001,0.6817486372805664,N/A,0.12603020668029785
